user_name,video_id,video_desc,video_time,video_duration,n_shares,n_likes,n_comments,n_plays,video_link
jongraz,7036373611187277061,it’s giving…Tuesday 🔮🦴🔮 #noodletok #nobones,1638283398,58,8710,174100,2932,869600,https://www.tiktok.com/@jongraz/video/7036373611187277061?lang=en
jongraz,7036002855471418629,it’s going to be a Monday and a half but we’ve GOT THIS 🔮🦴🔮,1638197075,50,5039,134000,1877,662100,https://www.tiktok.com/@jongraz/video/7036002855471418629?lang=en
jongraz,7035264187450412293,"another day, another declaration",1638025090,15,12400,524200,3441,3100000,https://www.tiktok.com/@jongraz/video/7035264187450412293?lang=en
jongraz,7034943939643772166,"#ad Whether it’s a bones or no bones day, treat yourself! @Hotels.com",1637950526,53,2369,159300,1724,1000000,https://www.tiktok.com/@jongraz/video/7034943939643772166?lang=en
jongraz,7034536859455819013,plan your day ACCORDINGLY! 🦃🔮🦴 happy thanksgiving everyone! #bonesday #nobones #thanksgiving #elasticwaistbands #noodletok,1637855746,57,9040,195200,2105,1100000,https://www.tiktok.com/@jongraz/video/7034536859455819013?lang=en
jongraz,7034241580298947845,Check out @thewildestsite for every step of pet parenthood. Link in bio. 🦴✨,1637786995,58,371,103200,510,6300000,https://www.tiktok.com/@jongraz/video/7034241580298947845?lang=en
jongraz,7034153718278933765,the Bones have spoken and it is our job to LISTEN 🔮🦴🔮 #bonesday #nobones #nobonesday #noodletok #thanksgiving #weirduncle,1637766539,58,6612,148700,1820,737600,https://www.tiktok.com/@jongraz/video/7034153718278933765?lang=en
jongraz,7033774353791601926,I needed one of these 🔮🦴🔮 #bonesday #nobones #nobonesday #noodletok #cozyathome,1637678211,15,16000,512500,4485,2600000,https://www.tiktok.com/@jongraz/video/7033774353791601926?lang=en
jongraz,7033413331775950085,have a great day everyone! 🔮🦴🔮 #sweaterweather #pug #bones,1637594154,57,16400,322900,4097,1700000,https://www.tiktok.com/@jongraz/video/7033413331775950085?lang=en
jongraz,7033034538523610373,plan your day accordingly 🔮🦴🔮 also safe travels if you’re traveling! #bonesday #nobones #noodletok #treatyoself #thanksgiving,1637505959,48,9851,301800,3411,1600000,https://www.tiktok.com/@jongraz/video/7033034538523610373?lang=en
jongraz,7032454366653172997,#ad What songs do I need to add to the @spotify No Bones Day playlist? We will bop as one! 🚫🦴 #SpotifyPartner #playlistcheck #nobones,1637370879,54,339,63100,2150,4400000,https://www.tiktok.com/@jongraz/video/7032454366653172997?lang=en
jongraz,7032301423278738694,it’ll be a Friday for the ages 🔮🦴🔮 #bones #nobones #noodletok #friday #kindness,1637335268,51,13700,260700,4178,1700000,https://www.tiktok.com/@jongraz/video/7032301423278738694?lang=en
jongraz,7032038948968975621,FROM THE ARCHIVES: Noodle’s infamous goldfish video was posted 5 years ago TODAY! His power has only increased since. #pug #snacks #epic #noodletok,1637274156,13,14000,436500,2132,2400000,https://www.tiktok.com/@jongraz/video/7032038948968975621?lang=en
jongraz,7031918628782017798,plan your day accordingly 🔮🦴🔮 #bonesday #nobones #noodletok #pug #walkies,1637246142,59,6240,150600,2665,738000,https://www.tiktok.com/@jongraz/video/7031918628782017798?lang=en
jongraz,7031680675480685830,Reply to @jimmy_halpin ❤️ #bonesday #nobones,1637190739,59,1487,389200,13600,2100000,https://www.tiktok.com/@jongraz/video/7031680675480685830?lang=en
